案件NO,媒体,受信日,顧客名,TEL番号,車名,入札,入札結果,,①TEL結果,②TEL結果,②日付,③TEL結果,③日付,④TEL結果,④日付,⑤TEL結果,⑤日付,査定,結果,次回後追日,担当者,備考,顧客希望額,査定提示額,成約額,住所,メール,年式,走行距離,,通話メモ,回答,⑥結果,⑥日付
193,カーセンサー,2026/05/12,サンプル17,090-0000-0017,ハスラー,,,,不通SMS,不通,5/13,不通,5/15,留守,5/16,不通,5/20,,他社売却,,前田,（メモはサンプル用に伏せています）,,,,,,,,,,,,
202,カーセンサー,2026/05/13,サンプル18,090-0000-0018,NBOX,,,（メモはサンプル用に伏せています）,不通,不通SMS,5/15,留守,5/16,通話,5/19,通話,5/20,,他社売却,,前田,,,,,,,,,,,,,
208,MOTA,2026/05/16,サンプル19,090-0000-0019,トヨタアクア1.5 S スタイルブラック,〇,権利獲得,,アポ,,,,,,,,,〇,成約,,前田,,"査定番号:2333384 / 型式:DAA-NHP10 / 車台:－ / 排気量:1,496cc / 修復歴:なし / 色:白(ホワイト)系 / 車検:2026年6月 / 燃料:その他 / MT/AT:CVT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:なし",,,,sample3@example.com,sample4@example.com,2017(平成29)年式,～1万キロ,,,,
213,MOTA,2026/05/20,サンプル20,090-0000-0020,トヨタプリウス1.8 L,〇,権利獲得,（メモはサンプル用に伏せています）,不通SMS,不通,5/20,不通,5/21,不通,5/22,,,,他社売却,,前田,,査定番号:2343139 / 型式:DAA-ZVW30 / 車台:ZVW30-1065519 / 修復歴:なし,,,,sample5@example.com,sample6@example.com,2009(平成21)年式,～15万キロ,,,,
216,MOTA,2026/05/20,サンプル21,090-0000-0021,レクサスRX350 バージョンL 4WD,〇,権利獲得,,不通SMS,不通,5/20,不通,5/22,不通,5/23,不通,5/24,,着拒,,前田,（メモはサンプル用に伏せています）,"査定番号:2349224 / 排気量:3,456cc / 修復歴:未修復 / 色:白(ホワイト)系 / 車検:2027年4月 / 燃料:ガソリン / MT/AT:AT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:あり",,,,sample7@example.com,sample8@example.com,2009(平成21)年式,～14万キロ,,,,
224,MOTA,2026/05/22,サンプル22,090-0000-0022,トヨタクラウンスポーツ2.5 Z E-Four 4WD,〇,権利獲得,（メモはサンプル用に伏せています）,不通SMS,不通,5/22,不通SMS,5/23,通話,5/24,,,,他社売却,,前田,（メモはサンプル用に伏せています）,"査定番号:2354643 / 型式:6AA-AZSH36W / 車台:－ / 排気量:2,487cc / 修復歴:なし / 色:黒(ブラック)系 / 車検:2027年6月 / 燃料:ガソリン / MT/AT:CVT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:あり",,,,sample9@example.com,sample10@example.com,2024(令和6)年式,～2万キロ,,,,
234,MOTA,2026/05/24,サンプル23,090-0000-0023,トヨタヴェルファイア2.4 Zプレミア 4WD,〇,権利獲得,（メモはサンプル用に伏せています）,留守,通話,5/24,,,,,,,,他社売却,,前田,（メモはサンプル用に伏せています）,"査定番号:2361535 / 型式:5BA-TAHA45W / 車台:TAHA45−0002419 / 排気量:2,393cc / 修復歴:なし / 色:真珠(パール)系 / 車検:2027年4月 / 燃料:ガソリン / MT/AT:AT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:なし",,,,sample11@example.com,sample12@example.com,2024(令和6)年式,～1万キロ,,,,
,店頭,2026/05/27,サンプル24,090-0000-0024,アルファードHV,,,（メモはサンプル用に伏せています）,通話,,5/27,,,,,,,〇,売らない,,前田,（メモはサンプル用に伏せています）,,,,,,,,,,,,
239,MOTA,2026/06/04,サンプル25,090-0000-0025,トヨタヴォクシー1.8 ハイブリッド ZS 煌II,〇,権利獲得,（メモはサンプル用に伏せています）,不通SMS,アポ,6/4,,,,,,,〇,他社売却,,前田,（メモはサンプル用に伏せています）,"査定番号:2401478 / 型式:DAA-ZWR80W / 車台:－ / 排気量:1,797cc / 修復歴:なし / 色:真珠(パール)系 / 車検:2028年1月 / 燃料:その他 / MT/AT:CVT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:あり",,,,sample13@example.com,sample14@example.com,2019(令和1)年式,～11万キロ,,,,
,カーセンサー,2026/06/05,サンプル26,090-0000-0026,ベンツEクラス,,,,不通SMS,不通SMS,6/5,不通SMS,6/6,不通SMS,6/7,不通SMS,6/8,,着拒,,前田,（メモはサンプル用に伏せています）,,,,,,,,,,,,
,カーセンサー,,サンプル27,090-0000-0027,ザビートル,,,（メモはサンプル用に伏せています）,不通SMS,不通,6/8,アポ,6/10,,,,,,売らない,,前田,（メモはサンプル用に伏せています）,,,,,,,,,,,,
257,MOTA,2026/06/09,サンプル28,090-0000-0028,ダイハツムーヴコンテ660 L,〇,権利獲得,,不通SMS,不通,6/10,不通,6/12,不通,6/13,不通,6/14,,着拒,,前田,（メモはサンプル用に伏せています）,査定番号:2419419 / 型式:DBA-L575S / 車台:－ / 排気量:658cc / 修復歴:なし / 色:茶(ブラウン)系 / 車検:2026年6月 / 燃料:ガソリン / MT/AT:CVT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:あり,,,,sample15@example.com,sample16@example.com,2014(平成26)年式,～20万キロ,,,,
266,MOTA,2026/06/12,サンプル29,090-0000-0029,日産セレナ1.2 e-POWER ハイウェイスター V,〇,権利獲得,,不通SMS,不通SMS,6/13,不通SMS,6/14,留守,6/19,不通,6/24,,着拒,,前田,（メモはサンプル用に伏せています）,"査定番号:2428392 / 型式:6AA-HFC27 / 車台:－ / 排気量:1,198cc / 修復歴:なし / 色:赤(レッド)系 / 車検:未入力 / 燃料:ガソリン / MT/AT:AT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:あり",,,,sample17@example.com,sample18@example.com,2021(令和3)年式,～5万キロ,,,,
271,MOTA,2026/06/14,サンプル30,090-0000-0030,日産ノート1.2 e-POWER メダリスト,〇,権利獲得,,不通,,6/14,留守,6/19,,,,,,他社売却,,前田,（メモはサンプル用に伏せています）,"査定番号:2432996 / 型式:DAA-HE12 / 車台:HE12-136019 / 排気量:1,198cc / 修復歴:なし / 色:真珠(パール)系 / 車検:2027年3月 / 燃料:ガソリン / MT/AT:AT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:なし",,,,,,2018(平成30)年式,～10万キロ,,,,
,Yahoo!,2026/06/14,サンプル31,090-0000-0031,ヴェゼルHV,,,,アポ,,,,,,,,,〇,成約,,前田,,,,,,,,,,,,,
,MOTA,,サンプル32,090-0000-0032,フリードスパイク,〇,権利獲得,,不通SMS,通話,,,,,,,,〇,成約,,前田,（メモはサンプル用に伏せています）,,,,,,,,,,,,
,MOTA,2026/06/21,サンプル33,,ハイゼットカーゴ,,,,,,,,,,,,,〇,他社売却,,川縁,（メモはサンプル用に伏せています）,,28万円,,,,,,,,,,
293,MOTA,2026/06/25,サンプル34,090-0000-0033,スズキジムニー660 XC 4WD,〇,権利獲得,,通話,,,,,,,,,,他社売却,,前田,（メモはサンプル用に伏せています）,査定番号:2470343 / 型式:TA-JB23W / 車台:－ / 排気量:658cc / 修復歴:走行不可 / 色:銀(シルバー)系 / 車検:未入力 / 燃料:ガソリン / MT/AT:MT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:ー,,,,sample19@example.com,sample20@example.com,2002(平成14)年式,～17万キロ,,,,
,カーセンサー,,サンプル35,090-0000-0034,500X,,,（メモはサンプル用に伏せています）,,,,,,,,,,,売らない,,前田,,,,,,,,,,,,,
,カーセンサー,,サンプル36,090-0000-0035,エクストレイル,,,（メモはサンプル用に伏せています）,留守,不通,7/3,不通,7/4,不通,7/5,通話,7/8,,他社売却,,前田,,,,,,,,,,,,,
311,MOTA,2026/07/03,サンプル37,090-0000-0036,ホンダストリーム1.7 L Sパッケージ 4WD,〇,権利獲得,（メモはサンプル用に伏せています）,通話,,,,,,,,,,他社売却,,前田,,"査定番号:2496871 / 型式:LA-RN2 / 車台:rn2-1201724 / 排気量:1,668cc / 修復歴:未修復 / 色:金(ゴールド)系 / 車検:2026年8月 / 燃料:ガソリン / MT/AT:AT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:ー",,,,sample21@example.com,sample22@example.com,2003(平成15)年式,～7万キロ,,,,
315,MOTA,2026/07/05,サンプル38,090-0000-0037,マツダCX-31.5 XD ディーゼルターボ,〇,権利獲得,（メモはサンプル用に伏せています）,不通SMS,,,,,,,,,,売らない,,前田,,"査定番号:2503338 / 型式:LDA-DK5FW / 車台:－ / 排気量:1,498cc / 修復歴:修復済 / 色:赤(レッド)系 / 車検:未入力 / 燃料:ディーゼル / MT/AT:AT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:あり",,,,sample23@example.com,sample24@example.com,2018(平成30)年式,～10万キロ,,,,
322,MOTA,2026/07/06,サンプル39,090-0000-0038,トヨタヴァンガード2.4 240S Sパッケージ 4WD,〇,権利獲得,（メモはサンプル用に伏せています）,不通SMS,通話,7/9,,,,,,,〇,他社売却,,前田,,"査定番号:2506037 / 型式:DBA-ACA33W / 排気量:2,362cc / 修復歴:修復済 / 色:白(ホワイト)系 / 車検:2027年3月 / 燃料:ガソリン / MT/AT:CVT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:ー",,,,sample25@example.com,sample26@example.com,2013(平成25)年式,～13万キロ,,,,
338,MOTA,2026/07/10,サンプル40,090-0000-0039,マツダデミオ1.3 13C 4WD,〇,権利獲得,,通話,,,,,,,,,〇,成約,,前田,,"査定番号:2519690 / 型式:DBA-DE3AS / 車台:－ / 排気量:1,348cc / 修復歴:なし / 色:灰(グレー)系 / 車検:2026年7月 / 燃料:ガソリン / MT/AT:AT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:なし",,,,sample27@example.com,sample28@example.com,2009(平成21)年式,～8万キロ,,,,
356,MOTA,2026/07/18,サンプル41,090-0000-0040,スズキジムニー660 XC 4WD,〇,権利獲得,（メモはサンプル用に伏せています）,アポ,,,,,,,,,,他社売却,,前田,（メモはサンプル用に伏せています）,査定番号:2541659 / 型式:3BA-JB64W / 車台:JB64W-388307 / 排気量:658cc / 修復歴:なし / 色:灰(グレー)系 / 車検:2028年5月 / 燃料:ガソリン / MT/AT:AT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:あり,,,,sample29@example.com,sample30@example.com,2025(令和7)年式,"～5,000キロ",,,,
366,MOTA,2026/07/20,サンプル42,090-0000-0041,トヨタサクシードバン1.5 UL 4WD,〇,権利獲得,（メモはサンプル用に伏せています）,通話,,,,,,,,,,,,前田,,"査定番号:2550139 / 型式:DBE-NCP55V / 車台:NCP55-020057 / 排気量:1,496cc / 修復歴:なし / 色:白(ホワイト)系 / 車検:2026年12月 / 燃料:ガソリン / MT/AT:AT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:あり",,,,sample31@example.com,sample32@example.com,2014(平成26)年式,～20万キロ,（メモはサンプル用に伏せています）,,,
376,MOTA,2026/07/22,サンプル43,090-0000-0042,ホンダゼスト660 スパーク G,〇,権利獲得,,不通SMS,不通,7/23,不通SMS,7/23,不通SMS,7/24,不通SMS,7/25,,他社売却,,,,査定番号:2555442 / 型式:DBA-JE1 / 車台:JE1-1414407 / 排気量:658cc / 修復歴:修復済 / 色:白(ホワイト)系 / 車検:2028年3月 / 燃料:ガソリン / MT/AT:AT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:なし,,,,sample33@example.com,sample34@example.com,2012(平成24)年式,～13万キロ,,,,
387,LINE,2026/07/22,サンプル44,090-0000-0043,ミラ,,,,,,,,,,,,,,,,前田,,LINE査定 / 査定ID:0f85afe2-c75e-478f-bcd5-f07ca63689c4 / LINE_ID:U58408ff115a76f9b95c0229c81a81f54 / ｾｰﾙｽ:なし / 初年度登録・車体番号：あ / Drive:https://drive.google.com/drive/folders/1q6rk8kxOh8FS2PCTKHlyFJFDSrfQ8lou,,,,,,,50.000km,,,,
395,MOTA,2026/07/24,サンプル45,090-0000-0044,マツダロードスター1.5 S スペシャルパッケージ,〇,権利獲得,,留守,不通SMS,7/27,不通SMS,8/7,留守,8/12,不通SMS,8/16,,,,野村,,"査定番号:2562080 / 型式:5BA-ND5RE / 排気量:1,496cc / 修復歴:なし / 色:赤(レッド)系 / 車検:未入力 / 燃料:ガソリン / MT/AT:MT / ハンドル:右 / 売却希望:1ヶ月以内 / 乗換検討:あり",,,,sample35@example.com,sample36@example.com,2026,"～5,000キロ",（メモはサンプル用に伏せています）,,,
420,LINE,2026/07/26,サンプル46,090-0000-0045,プジョー2008GTライン,,,,,,,,,,,,,,,,前田,,"LINE査定 / 査定ID:f280e980-69f9-48df-962c-871f1862049d / LINE_ID:Ue101ed8005cd8fb5318406bf87a84c80 / ｾｰﾙｽ:禁煙車
キズ少なめ
サンルーフ / 初年度登録・車体番号：初年度登録令和2年9月
車体番号VR3USHNSSLJ754310 / Drive:https://drive.google.com/drive/folders/139pHJKQzJ6bNX-utMtGEm3t2MmIgIYX4",,,,,,,63000km,,,,
428,MOTA,2026/07/27,サンプル47,090-0000-0046,トヨタノア2.0 S-G,〇,権利獲得,,留守,不通SMS,8/2,不通SMS,8/8,不通SMS,8/9,アポ,8/11,,,,石川,,査定番号:2571080 / 型式:6BA-MZRA90W / 車台:－ / 修復歴:なし,,,,sample37@example.com,sample38@example.com,2022(令和4)年式,～8万キロ,（メモはサンプル用に伏せています）,,,
436,MOTA,2026/07/27,,,ダイハツタフト660 G,,,,,,,,,,,,,,,,,,査定番号:2572682 / 型式:5BA-LA900S / 車台:－ / 排気量:658cc / 修復歴:なし / 色:青(ブルー)系 / 車検:未入力 / 燃料:ガソリン / MT/AT:CVT / ハンドル:右 / 売却希望:3ヶ月以内 / 乗換検討:なし,,,,,,2023(令和5)年式,～2万キロ,,,,
443,MOTA,2026/07/29,,,スズキハスラー660 G,,,,,,,,,,,,,,,,,（メモはサンプル用に伏せています）,,,,,,2019(令和1)年式,～6万キロ,,,,,
450,MOTA,2026/7/30,サンプル48,090-0000-0047,トヨタタンク1.0 G 4WD,〇,権利獲得,,不通SMS,不通SMS,8/2,不通SMS,8/7,着信拒,8/8,着信拒,8/9,,着拒,,,（メモはサンプル用に伏せています）,,,,富山県富山市サンプル町1-2-3,sample39@example.com,2016(平成28)年式,～9万キロ,,（メモはサンプル用に伏せています）,,,
,カーセンサー,,サンプル49,090-0000-0048,デイズ,,,,留守,不通SMS,,,,,,,,,,,前田,,,,,,,,,,,,,
460,MOTA,2026/8/1,,,三菱トッポ660 ナビコレクション M,,,,,,,,,,,,,,,,,（メモはサンプル用に伏せています）,,,,,,2011(平成23)年式,～10万キロ,,,,,
465,MOTA,2026/8/2,サンプル50,090-0000-0049,マツダデミオ1.3 13C スマートエディション,〇,権利獲得,,,,,,,,,,,,他社売却,,,（メモはサンプル用に伏せています）,,,,富山県富山市サンプル町1-2-3,sample40@example.com,2010(平成22)年式,～13万キロ,,（メモはサンプル用に伏せています）,,,
472,MOTA,2026/8/5,サンプル51,090-0000-0050,スズキジムニー660 XC 4WD,〇,権利獲得,,不通,通話,8/8,アポ,8/9,,,,,,,,前田,（メモはサンプル用に伏せています）,,,,富山県富山市サンプル町1-2-3,sample41@example.com,2023(令和5)年式,～6万キロ,,（メモはサンプル用に伏せています）,,,
479,MOTA,2026/8/6,サンプル52,090-0000-0051,スバルフォレスター2.0i-S アイサイト 4WD,〇,権利獲得,,留守,,,,,,,,,,他社売却,,,（メモはサンプル用に伏せています）,,,,富山県富山市サンプル町1-2-3,sample42@example.com,2013(平成25)年式,～9万キロ,,（メモはサンプル用に伏せています）,,,
486,MOTA,2026/8/7,サンプル53,090-0000-0052,ホンダN-BOX660 G Lパッケージ,〇,権利獲得,,アポ,,,,,,,,,,他社売却,,前田,（メモはサンプル用に伏せています）,,,,富山県富山市サンプル町1-2-3,sample43@example.com,2012(平成24)年式,～7万キロ,,,,,
493,MOTA,2026/8/8,,,ホンダN-BOXカスタム 660 G L,,,,,,,,,,,,,,,,,（メモはサンプル用に伏せています）,,,,,,2018(平成30)年式,～13万キロ,,,,,
500,MOTA,2026/8/10,,,日産スカイラインクーペ3.7 370GT タイプP,,,,,,,,,,,,,,,,,（メモはサンプル用に伏せています）,,,,,,2008(平成20)年式,～10万キロ,,,,,
507,MOTA,2026/8/11,サンプル54,090-0000-0053,ホンダライフ660 G,〇,権利獲得,,不通,通話,8/12,,,,,,,,他社売却,,,（メモはサンプル用に伏せています）,,,,富山県富山市サンプル町1-2-3,sample44@example.com,2011(平成23)年式,～11万キロ,,,,,
514,店頭,2026/08/12,サンプル55,090-0000-0054,ウェイク,,,,アポ,,,,,,,,,〇,成約,,前田,,,,,,,,,,,,,
